*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 07, 2014; 01:51:49
                                                                                
*RUN   1        : 0 N check plot            SGCER045 ITHY8001    1              
 MODEL          : SGCER045 - Grain sorghum                                      
 EXPERIMENT     : ITHY8001 SG ICRISAT ALFISOL N 1980 EXPT 80-1                  
 DATA PATH      :                                                               
 TREATMENT  1   : 0 N check plot            SGCER045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172     0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1980 238    74    80     1     3.0  131.8  126.1    5.6    0.28    0.33    0.60    2.40    4.83    6.52    7.86    7.09    4.71    2.79    0.18    0.26    0.06    0.17    0.14    0.16    0.16    0.35    0.19    0.17   23.85  142.53    4.00   15.77    0.00    8.08   78.69
 1980 239    75    80     1     4.1  130.8  125.1    5.6    0.38    0.36    0.62    2.35    4.69    6.31    7.61    6.99    4.76    2.93    0.15    0.25    0.06    0.18    0.14    0.17    0.16    0.35    0.19    0.17   24.17  142.80    4.17   15.84    0.00    8.34   78.69
 1980 240    76    80     1     4.6  130.5  124.9    5.6    0.48    0.40    0.66    2.37    4.70    6.25    7.52    6.91    4.75    2.99    0.13    0.25    0.05    0.17    0.15    0.17    0.17    0.35    0.19    0.17   24.53  143.12    4.25   15.90    0.00    8.63   78.69
 1980 241    77    80     1     4.9  130.5  125.0    5.5    0.61    0.46    0.71    2.40    4.71    6.26    7.52    6.84    4.72    3.02    0.09    0.23    0.04    0.17    0.14    0.18    0.17    0.34    0.19    0.16   24.90  143.51    4.29   15.97    0.00    8.93   78.69
 1980 242    78    80     1     5.0  130.6  125.2    5.4    0.71    0.52    0.75    2.43    4.73    6.27    7.53    6.81    4.71    3.04    0.08    0.21    0.04    0.17    0.14    0.18    0.17    0.34    0.18    0.16   25.26  143.92    4.31   16.03    0.00    9.22   78.69
 1980 243    79    80     1     5.0  130.9  125.6    5.3    0.81    0.57    0.80    2.46    4.75    6.29    7.53    6.80    4.71    3.05    0.07    0.19    0.03    0.16    0.14    0.17    0.16    0.34    0.18    0.16   25.61  144.31    4.32   16.10    0.00    9.51   78.69
 1980 244    80    80     1     5.0  131.2  126.0    5.2    0.90    0.62    0.84    2.49    4.77    6.31    7.54    6.80    4.70    3.05    0.07    0.17    0.03    0.16    0.14    0.17    0.16    0.33    0.18    0.16   25.95  144.69    4.33   16.15    0.00    9.79   78.69
 1980 245    81    80     1     5.0  131.4  126.3    5.1    0.99    0.66    0.88    2.52    4.79    6.33    7.55    6.80    4.70    3.05    0.06    0.16    0.03    0.15    0.13    0.16    0.16    0.33    0.18    0.16   26.27  145.06    4.34   16.21    0.00   10.06   78.69
 1980 246    82    80     1     5.0  131.7  126.7    5.0    0.38    0.65    1.07    2.74    4.81    6.34    7.55    6.80    4.70    3.06    0.06    0.15    0.03    0.15    0.13    0.16    0.15    0.33    0.18    0.15   26.57  145.41    4.35   16.26    0.00   10.31   78.69
 1980 247    83    80     1     5.0  131.9  126.9    5.0    0.19    0.47    0.80    2.42    5.26    6.60    7.56    6.80    4.70    3.06    0.10    0.16    0.03    0.14    0.12    0.15    0.15    0.32    0.18    0.15   26.86  145.65    4.36   16.31    0.00   10.55   78.69
 1980 248    84    80     1     5.0  132.1  127.1    5.0    0.17    0.44    0.74    2.27    5.19    6.91    7.58    6.80    4.70    3.06    0.12    0.18    0.04    0.15    0.13    0.15    0.14    0.32    0.18    0.15   27.14  145.85    4.36   16.35    0.00   10.79   78.69
 1980 249    85    80     1     5.0  132.4  127.3    5.1    0.19    0.42    0.72    2.18    5.05    7.04    7.74    6.81    4.70    3.07    0.14    0.19    0.04    0.16    0.13    0.16    0.14    0.32    0.18    0.15   27.41  146.02    4.37   16.40    0.00   11.01   78.69
 1980 250    86    80     1     5.0  130.2  125.1    5.1    0.13    0.29    0.51    1.67    4.11    6.56    8.56    6.96    4.73    3.09    0.14    0.20    0.05    0.16    0.14    0.16    0.14    0.31    0.18    0.15   27.67  146.22    4.37   16.44    0.00   11.23   81.07
 1980 251    87    80     1     7.4  125.0  119.8    5.2    0.16    0.26    0.44    1.44    3.46    5.57    7.36    6.90    5.00    3.35    0.15    0.21    0.05    0.17    0.14    0.17    0.14    0.31    0.18    0.15   27.91  146.35    4.38   16.48    0.00   11.44   84.15
 1980 252    88    80     1     8.7  121.0  115.8    5.2    0.23    0.26    0.40    1.27    2.99    4.91    6.61    6.83    5.13    3.49    0.14    0.21    0.05    0.17    0.15    0.17    0.15    0.31    0.18    0.15   28.20  146.55    4.42   16.52    0.00   11.68   86.98
 1980 253    89    80     1     9.3  118.0  112.8    5.2    0.32    0.27    0.38    1.15    2.67    4.49    6.14    6.76    5.18    3.55    0.13    0.21    0.05    0.18    0.15    0.18    0.16    0.30    0.18    0.15   28.52  146.79    4.45   16.57    0.00   11.95   89.65
 1980 254    90    80     1     9.3  115.6  110.4    5.2    0.38    0.29    0.37    1.07    2.46    4.23    5.81    6.70    5.18    3.55    0.11    0.21    0.05    0.18    0.16    0.19    0.16    0.30    0.18    0.15   28.88  147.12    4.46   16.62    0.00   12.26   92.36
 1980 255    91    80     1     9.3  113.3  108.2    5.1    0.45    0.30    0.37    1.01    2.28    4.00    5.48    6.64    5.17    3.55    0.07    0.19    0.04    0.18    0.16    0.18    0.15    0.29    0.18    0.15   29.25  147.56    4.46   16.68    0.00   12.57   94.98
 1980 256    92    80     1     9.3  111.3  106.3    5.0    0.48    0.32    0.35    0.95    2.13    3.81    5.20    6.60    5.17    3.55    0.07    0.18    0.04    0.17    0.15    0.18    0.15    0.29    0.18    0.15   29.60  147.97    4.47   16.73    0.00   12.87   97.23
 1980 257    93    80     1     9.3  109.3  104.4    4.9    0.38    0.38    0.35    0.89    1.97    3.60    4.91    6.55    5.17    3.56    0.06    0.17    0.03    0.17    0.15    0.17    0.15    0.28    0.18    0.15   29.95  148.37    4.47   16.78    0.00   13.17   99.60
 1980 258    94    80     1     9.3  106.6  101.7    4.9    0.35    0.34    0.33    0.82    1.77    3.34    4.54    6.48    5.17    3.56    0.09    0.17    0.03    0.16    0.15    0.17    0.15    0.28    0.18    0.14   30.29  148.69    4.48   16.83    0.00   13.46  102.58
 1980 259    95    80     1     9.3  103.6   98.8    4.8    0.33    0.31    0.31    0.74    1.57    3.05    4.15    6.39    5.16    3.56    0.11    0.18    0.03    0.16    0.14    0.17    0.14    0.27    0.18    0.14   30.62  149.03    4.48   16.88    0.00   13.74  105.83
 1980 260    96    80     1     9.3  101.4   96.7    4.7    0.29    0.33    0.31    0.68    1.42    2.85    3.86    6.32    5.16    3.56    0.10    0.17    0.03    0.15    0.14    0.16    0.14    0.27    0.18    0.14   30.95  149.40    4.48   16.93    0.00   14.02  108.27
 1980 261    97    80     1     9.3   99.3   94.6    4.7    0.20    0.31    0.32    0.64    1.29    2.64    3.57    6.25    5.15    3.57    0.12    0.17    0.04    0.15    0.13    0.16    0.14    0.26    0.17    0.14   31.25  149.70    4.48   16.98    0.00   14.28  110.69
 1980 262    98    80     1     9.3   97.0   92.4    4.6    0.15    0.23    0.28    0.61    1.17    2.42    3.27    6.17    5.15    3.57    0.13    0.18    0.04    0.14    0.13    0.15    0.14    0.26    0.17    0.14   31.52  149.97    4.49   17.02    0.00   14.51  113.20
 1980 263    99    80     1     9.3   95.0   90.4    4.6    0.19    0.23    0.24    0.51    1.10    2.22    3.00    6.09    5.14    3.57    0.14    0.19    0.04    0.15    0.12    0.15    0.13    0.25    0.17    0.14   31.80  150.22    4.49   17.06    0.00   14.74  115.40
 1980 264   100    80     1     9.3   93.4   88.8    4.6    0.25    0.25    0.26    0.46    1.00    2.05    2.77    6.02    5.14    3.57    0.13    0.20    0.05    0.16    0.12    0.14    0.13    0.25    0.17    0.14   32.11  150.52    4.49   17.10    0.00   15.01  117.31
 1980 265   101    80     1     9.3   91.9   87.3    4.6    0.29    0.27    0.26    0.41    0.93    1.90    2.57    5.95    5.13    3.57    0.13    0.20    0.05    0.16    0.12    0.14    0.13    0.25    0.17    0.14   32.42  150.81    4.50   17.15    0.00   15.27  119.06
 1980 266   102    80     1     9.3   90.3   85.8    4.5    0.22    0.29    0.31    0.39    0.83    1.75    2.36    5.88    5.13    3.57    0.12    0.20    0.05    0.16    0.12    0.13    0.12    0.24    0.17    0.13   32.75  151.15    4.50   17.20    0.00   15.55  120.91
 1980 267   103    80     1     9.3   88.1   83.6    4.5    0.26    0.25    0.25    0.33    0.71    1.57    2.09    5.77    5.12    3.57    0.13    0.21    0.05    0.16    0.12    0.13    0.12    0.24    0.17    0.13   33.04  151.43    4.50   17.24    0.00   15.80  123.37
 1980 268   104    80     1     9.3   87.1   82.7    4.4    0.25    0.29    0.28    0.33    0.65    1.47    1.96    5.71    5.12    3.58    0.12    0.21    0.05    0.15    0.13    0.13    0.12    0.23    0.17    0.13   33.37  151.77    4.51   17.29    0.00   16.08  124.67
 1980 269   105    80     1     9.3   85.2   80.8    4.4    0.29    0.25    0.25    0.29    0.57    1.31    1.74    5.60    5.11    3.58    0.13    0.22    0.05    0.15    0.13    0.12    0.11    0.23    0.17    0.13   33.67  152.06    4.51   17.33    0.00   16.34  126.83
 1980 270   106    80     1     9.3   83.5   79.2    4.3    0.33    0.27    0.26    0.28    0.49    1.16    1.56    5.49    5.09    3.58    0.11    0.22    0.05    0.15    0.13    0.12    0.11    0.22    0.17    0.13   34.00  152.40    4.52   17.38    0.00   16.62  128.74
 1980 271   107    80     1     9.3   81.8   77.6    4.2    0.35    0.28    0.27    0.27    0.42    1.03    1.39    5.36    5.07    3.58    0.10    0.21    0.05    0.15    0.13    0.12    0.11    0.22    0.16    0.13   34.33  152.77    4.52   17.43    0.00   16.91  130.73
 1980 272   108    80     1     9.3   80.3   76.2    4.1    0.38    0.31    0.27    0.27    0.37    0.91    1.26    5.24    5.04    3.58    0.06    0.19    0.04    0.15    0.12    0.12    0.10    0.22    0.16    0.13   34.67  153.19    4.52   17.48    0.00   17.19  132.59
 1980 273   109    80     1     9.3   78.9   74.9    4.0    0.37    0.30    0.27    0.27    0.33    0.83    1.13    5.14    5.01    3.58    0.05    0.17    0.03    0.14    0.12    0.11    0.10    0.21    0.16    0.13   34.99  153.57    4.52   17.52    0.00   17.47  134.26
 1980 274   110    80     1     9.3   77.5   73.6    3.9    0.35    0.30    0.27    0.27    0.29    0.75    1.02    5.03    4.98    3.58    0.04    0.15    0.03    0.14    0.12    0.11    0.10    0.21    0.16    0.13   35.29  153.93    4.52   17.57    0.00   17.72  135.89
 1980 275   111    80     1     9.3   76.5   72.7    3.8    0.35    0.29    0.27    0.27    0.27    0.70    0.94    4.95    4.95    3.58    0.04    0.14    0.03    0.13    0.11    0.11    0.10    0.21    0.16    0.13   35.58  154.28    4.52   17.61    0.00   17.97  137.09
 1980 276   112    80     1     9.3   75.2   71.5    3.7    0.31    0.29    0.26    0.27    0.26    0.63    0.84    4.84    4.90    3.58    0.03    0.13    0.02    0.13    0.11    0.11    0.09    0.20    0.15    0.13   35.84  154.60    4.52   17.65    0.00   18.20  138.68
 1980 277   113    80     1     9.3   74.0   70.4    3.6    0.29    0.29    0.26    0.27    0.26    0.57    0.76    4.74    4.86    3.58    0.02    0.12    0.02    0.12    0.11    0.10    0.09    0.20    0.15    0.12   36.09  154.91    4.52   17.69    0.00   18.41  140.09
 1980 278   114    80     1     9.3   72.8   69.3    3.5    0.26    0.28    0.26    0.26    0.26    0.51    0.67    4.63    4.81    3.58    0.02    0.11    0.02    0.12    0.10    0.10    0.09    0.19    0.15    0.12   36.32  155.20    4.52   17.72    0.00   18.60  141.49

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 07, 2014; 01:51:49
                                                                                
*RUN   3        : 80 kg Urea-N Split Applic SGCER045 ITHY8001    3              
 MODEL          : SGCER045 - Grain sorghum                                      
 EXPERIMENT     : ITHY8001 SG ICRISAT ALFISOL N 1980 EXPT 80-1                  
 DATA PATH      :                                                               
 TREATMENT  3   : 80 kg Urea-N Split Applic SGCER045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172     0-5    5-15   15-22   22-37   37-52   52-67   67-82  82-112 112-142 142-172
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1980 164     0     0     0     0.0  129.4   69.1   60.3    1.80    1.80    1.80    4.50    4.50    5.00    5.00    2.00    0.70    0.60    2.50    2.50    2.50    3.00    3.00    3.50    3.50    2.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1980 165     1     0     0     0.0  129.5   78.9   50.6    4.29    2.51    3.29    4.96    4.93    5.47    5.45    2.06    0.73    0.63    0.00    1.79    1.01    2.55    2.57    3.04    3.06    1.94    0.97    0.97    0.26    9.83    0.00    0.20    0.00    0.06    0.00
 1980 166     2     0     0     0.0  129.5   84.5   45.0    4.32    2.97    3.85    5.32    5.29    5.86    5.83    2.12    0.76    0.65    0.00    1.32    0.44    2.19    2.22    2.65    2.69    1.88    0.95    0.95    0.51   15.42    0.00    0.38    0.00    0.12    0.00
 1980 167     3     0     0     0.0  129.6   88.8   40.7    1.26    3.89    5.42    5.62    5.58    6.19    6.15    2.17    0.78    0.68    0.00    0.98    0.20    1.89    1.93    2.33    2.37    1.83    0.92    0.92    0.90   19.81    0.00    0.75    0.00    0.15    0.00
 1980 168     4     0     0     0.0  129.6   92.2   37.3    1.10    3.15    4.99    6.98    5.79    6.44    6.32    2.20    0.80    0.70    0.00    0.82    0.08    1.64    1.69    2.06    2.10    1.78    0.90    0.90    1.48   23.23    0.00    1.33    0.00    0.15    0.00
 1980 169     5     0     0     0.0  129.6   94.9   34.6    1.43    3.08    5.06    7.32    5.97    6.64    6.46    2.24    0.82    0.72    0.00    0.72    0.07    1.44    1.49    1.83    1.88    1.73    0.87    0.88    2.02   25.96    0.00    1.85    0.00    0.17    0.00
 1980 170     6     0     0     0.0  129.6   97.3   32.4    2.19    3.08    5.07    7.65    6.08    6.76    6.48    2.25    0.84    0.74    0.00    0.61    0.07    1.29    1.33    1.65    1.69    1.69    0.85    0.86    2.57   28.30    0.00    2.37    0.00    0.20    0.00
 1980 171     7     0     0     0.0  129.6   99.4   30.2    3.20    3.21    5.29    7.76    6.21    6.85    6.45    2.26    0.86    0.76    0.00    0.48    0.06    1.15    1.19    1.48    1.52    1.64    0.83    0.84    3.15   30.49    0.00    2.92    0.00    0.23    0.00
 1980 172     8     0     0     0.0  129.7  101.5   28.2    4.28    3.44    5.56    7.80    6.28    6.92    6.40    2.27    0.87    0.77    0.00    0.33    0.05    1.02    1.06    1.33    1.37    1.60    0.81    0.82    3.70   32.56    0.00    3.43    0.00    0.27    0.00
 1980 173     9     0     0     0.0  129.7  103.4   26.4    5.47    3.63    5.84    7.80    6.33    6.97    6.35    2.28    0.89    0.79    0.00    0.23    0.04    0.91    0.94    1.19    1.23    1.56    0.79    0.80    4.21   34.46    0.00    3.88    0.00    0.32    0.00
 1980 174    10     0     0     0.0  129.8  105.2   24.6    6.74    3.80    6.10    7.79    6.38    7.01    6.28    2.29    0.90    0.80    0.00    0.15    0.03    0.80    0.83    1.06    1.10    1.52    0.77    0.78    4.68   36.29    0.00    4.30    0.00    0.38    0.00
 1980 175    11     0     0     0.0  129.9  106.9   22.9    6.79    3.84    6.11    7.90    6.49    7.14    6.42    2.33    0.92    0.82    0.00    0.09    0.02    0.70    0.72    0.93    0.97    1.47    0.75    0.75    5.16   38.03    0.00    4.71    0.00    0.46    0.00
 1980 176    12     0     0     0.0  129.9  108.5   21.5    6.83    3.85    6.12    7.99    6.59    7.26    6.54    2.38    0.94    0.85    0.00    0.06    0.02    0.61    0.63    0.82    0.86    1.43    0.73    0.73    5.62   39.59    0.00    5.09    0.00    0.54    0.01
 1980 177    13     0     0     0.0  130.0  109.8   20.2    6.87    3.85    6.12    8.07    6.67    7.36    6.64    2.42    0.96    0.87    0.00    0.04    0.02    0.53    0.55    0.72    0.76    1.39    0.71    0.71    6.06   40.98    0.00    5.43    0.00    0.63    0.05
 1980 178    14     0     0     0.0  130.0  110.9   19.1    6.91    3.84    6.11    8.13    6.74    7.45    6.73    2.46    0.98    0.88    0.00    0.03    0.02    0.47    0.48    0.64    0.68    1.35    0.69    0.70    6.46   42.17    0.00    5.73    0.00    0.73    0.10
 1980 179    15     0     0     0.0  130.0  111.9   18.2    6.93    3.82    6.10    8.17    6.80    7.52    6.81    2.49    1.00    0.90    0.00    0.02    0.02    0.42    0.43    0.58    0.61    1.31    0.67    0.68    6.92   43.23    0.00    6.10    0.00    0.82    0.19
 1980 180    16     0     0     0.0  130.0  112.7   17.3    6.94    3.80    6.08    8.20    6.85    7.59    6.88    2.53    1.02    0.92    0.00    0.02    0.02    0.38    0.38    0.52    0.55    1.27    0.66    0.66    7.36   44.21    0.00    6.43    0.00    0.92    0.32
 1980 181    17     0     0     0.0  130.0  113.5   16.5    6.96    3.78    6.07    8.24    6.90    7.65    6.94    2.57    1.04    0.94    0.00    0.02    0.02    0.34    0.34    0.46    0.50    1.24    0.64    0.64    7.77   45.12    0.00    6.74    0.00    1.03    0.42
 1980 182    18     0     0     0.0  130.0  114.2   15.8    6.98    3.76    6.05    8.26    6.94    7.70    7.00    2.60    1.05    0.95    0.00    0.03    0.02    0.31    0.30    0.42    0.45    1.21    0.62    0.63    8.16   45.97    0.00    7.02    0.00    1.15    0.55
 1980 183    19     0     0     0.0  130.0  114.9   15.1    2.61    5.20    6.80    8.42    6.98    7.75    7.05    2.63    1.07    0.97    0.00    0.03    0.02    0.28    0.27    0.38    0.41    1.17    0.61    0.61    8.55   46.78    0.00    7.28    0.00    1.27    0.66
 1980 184    20     0     0     0.0  130.0  115.5   14.5    2.70    4.89    7.16    8.67    6.97    7.74    6.99    2.65    1.08    0.98    0.01    0.03    0.03    0.25    0.24    0.34    0.37    1.14    0.59    0.60    8.93   47.50    0.00    7.54    0.00    1.40    0.79
 1980 185    21    40     1     0.0  147.6  116.1   31.5    2.64    4.69    7.15    8.87    7.07    7.74    6.97    2.67    1.10    1.00   21.77    0.04    0.03    0.23    0.22    0.31    0.34    1.11    0.58    0.58    9.28   48.16    0.00    7.76    0.00    1.52    0.87
 1980 186    22    40     1     0.0  157.6  122.8   34.8   10.86    4.39    6.56    8.51    7.94    7.73    6.92    2.68    1.11    1.01   26.43    0.04    0.04    0.23    0.20    0.29    0.31    1.08    0.56    0.57    9.60   54.97    0.00    8.00    0.00    1.60    1.04
 1980 187    23    40     1     0.0  162.2  137.2   25.0   29.77    4.26    6.40    8.34    8.17    7.64    6.75    2.67    1.11    1.02   14.13    0.36    0.04    0.22    0.18    0.27    0.29    1.06    0.55    0.55    9.95   69.89    0.00    8.31    0.00    1.65    1.94
 1980 188    24    40     1     0.0  164.4  147.7   16.6   43.99    4.29    6.50    8.28    8.09    7.54    6.57    2.66    1.12    1.02    4.06    0.46    0.05    0.21    0.17    0.25    0.27    1.03    0.54    0.54   10.30   81.16    0.02    8.61    0.00    1.69    2.82
 1980 189    25    40     1     0.0  165.4  150.8   14.5   47.51    4.98    6.57    8.19    8.01    7.46    6.42    2.65    1.13    1.03    1.99    0.43    0.06    0.20    0.16    0.23    0.25    1.01    0.53    0.53   10.65   85.00    0.02    8.92    0.00    1.73    3.63
 1980 190    26    40     1     0.0  165.2  152.0   13.2   50.19    4.99    6.61    8.06    7.92    7.37    6.28    2.64    1.13    1.04    0.89    0.38    0.04    0.18    0.15    0.21    0.23    0.98    0.51    0.52   11.00   87.34    0.02    9.25    0.00    1.75    4.82
 1980 191    27    40     1     0.0  164.7  152.4   12.3   50.51    5.01    6.54    8.02    7.91    7.39    6.31    2.67    1.15    1.05    0.39    0.31    0.03    0.17    0.14    0.19    0.21    0.96    0.50    0.50   11.36   88.85    0.02    9.56    0.00    1.80    5.89
 1980 192    28    40     1     0.0  163.5  151.9   11.6   49.97    4.98    6.42    7.95    7.89    7.40    6.33    2.69    1.16    1.06    0.13    0.25    0.03    0.16    0.13    0.18    0.20    0.93    0.49    0.49   11.70   89.89    0.02    9.84    0.00    1.86    7.40
 1980 193    29    40     1     0.0  162.2  151.1   11.1   49.14    4.94    6.31    7.87    7.84    7.41    6.35    2.72    1.17    1.08    0.07    0.20    0.03    0.16    0.12    0.16    0.18    0.91    0.48    0.48   12.02   90.59    0.02   10.08    0.00    1.94    8.95
 1980 194    30    40     1     0.0  161.0  150.4   10.6   45.07    6.59    6.22    7.81    7.80    7.40    6.37    2.74    1.18    1.09    0.00    0.16    0.02    0.15    0.12    0.15    0.17    0.88    0.46    0.47   12.35   91.12    0.02   10.33    0.00    2.02   10.27
 1980 195    31    40     1     0.0  158.6  148.3   10.3   42.79    6.82    6.04    7.67    7.68    7.37    6.39    2.77    1.20    1.10    0.00    0.14    0.02    0.14    0.11    0.14    0.16    0.86    0.45    0.45   12.67   91.61    0.02   10.58    0.00    2.10   12.85
 1980 196    32    40     1     0.0  156.1  146.2   10.0   38.47    8.48    5.89    7.49    7.53    7.27    6.31    2.77    1.20    1.11    0.00    0.12    0.02    0.14    0.10    0.13    0.15    0.84    0.44    0.44   12.99   92.05    0.02   10.81    0.00    2.18   15.40
 1980 197    33    40     1     0.0  151.1  141.5    9.7   36.43    8.24    5.58    7.14    7.22    7.08    6.19    2.77    1.21    1.12    0.00    0.10    0.02    0.13    0.10    0.12    0.14    0.82    0.43    0.43   13.28   92.47    0.02   11.00    0.00    2.27   20.53
 1980 198    34    80     2     0.0  170.0  160.6    9.4   60.03    8.33    5.58    7.14    7.21    7.06    6.16    2.78    1.22    1.13    0.00    0.09    0.02    0.13    0.09    0.12    0.13    0.80    0.42    0.42   13.57   92.88    0.02   11.20    0.00    2.37   20.53
 1980 199    35    80     2     0.0  179.3  170.2    9.1   72.55    8.16    5.54    7.11    7.17    7.03    6.13    2.79    1.23    1.13    0.00    0.08    0.02    0.12    0.09    0.11    0.12    0.78    0.41    0.41   13.85   93.25    0.02   11.44    0.00    2.41   21.07
 1980 200    36    80     2     0.0  179.0  170.2    8.9   75.34    7.73    5.28    6.87    6.95    6.91    6.09    2.81    1.24    1.14    0.00    0.07    0.02    0.12    0.09    0.11    0.12    0.76    0.40    0.40   14.10   93.60    0.02   11.65    0.00    2.45   26.69
 1980 201    37    80     2     0.0  175.7  167.1    8.6   74.42    7.32    5.03    6.63    6.72    6.78    6.02    2.83    1.25    1.15    0.00    0.07    0.02    0.11    0.08    0.10    0.11    0.74    0.39    0.39   14.33   93.96    0.02   11.82    0.00    2.51   32.60
 1980 202    38    80     2     0.0  172.6  164.2    8.4   72.99    7.02    4.85    6.46    6.56    6.68    5.96    2.85    1.26    1.16    0.00    0.06    0.01    0.11    0.08    0.10    0.11    0.72    0.38    0.38   14.54   94.30    0.02   11.96    0.00    2.58   36.95
 1980 203    39    80     2     0.0  173.5  165.4    8.1   74.17    7.00    4.85    6.47    6.56    6.69    5.97    2.87    1.27    1.17    0.00    0.06    0.01    0.10    0.08    0.09    0.10    0.70    0.37    0.37   14.75   94.64    0.02   12.10    0.00    2.65   36.95
 1980 204    40    80     2     0.0  171.1  163.2    7.9   46.20   20.16    4.73    6.36    6.44    6.62    5.91    2.89    1.28    1.18    0.00    0.05    0.01    0.10    0.07    0.09    0.10    0.68    0.36    0.36   14.97   94.96    0.02   12.26    0.00    2.70   40.12
 1980 205    41    80     2     0.0  166.6  158.6    7.9   20.85   21.64   17.10    6.63    6.22    6.46    5.77    2.89    1.28    1.19    0.00    0.20    0.01    0.09    0.07    0.08    0.10    0.67    0.36    0.36   15.22   95.27    0.02   12.44    0.00    2.78   45.13
 1980 206    42    80     2     0.0  166.9  158.9    7.9   18.44   21.23   18.37    7.19    6.22    6.46    5.77    2.91    1.29    1.20    0.04    0.24    0.10    0.09    0.07    0.08    0.09    0.65    0.35    0.35   15.45   95.57    0.02   12.57    0.00    2.88   45.13
 1980 207    43    80     2     0.0  165.7  157.9    7.8   11.44   18.93   19.57   10.14    6.16    6.41    5.73    2.92    1.30    1.21    0.07    0.25    0.13    0.09    0.06    0.08    0.09    0.63    0.34    0.34   15.67   95.90    0.02   12.68    0.00    2.98   46.49
 1980 208    44    80     2     0.0  165.0  157.3    7.7    7.34   16.10   18.57   13.02    6.72    6.38    5.70    2.93    1.31    1.21    0.08    0.25    0.14    0.10    0.06    0.08    0.09    0.62    0.33    0.33   15.88   96.19    0.02   12.78    0.00    3.09   47.42
 1980 209    45    80     2     0.0  160.2  152.6    7.6    6.95   14.61   17.62   12.77    6.90    6.20    5.55    2.94    1.31    1.22    0.09    0.24    0.14    0.11    0.06    0.07    0.08    0.60    0.32    0.32   16.08   96.46    0.05   12.87    0.00    3.21   52.32
 1980 210    46    80     2     0.0  159.5  152.0    7.5    6.71   13.84   17.17   12.93    7.29    6.18    5.53    2.95    1.32    1.23    0.10    0.23    0.13    0.12    0.06    0.07    0.08    0.59    0.32    0.32   16.27   96.73    0.29   12.95    0.00    3.32   52.92
 1980 211    47    80     2     0.0  150.5  143.2    7.3    6.49   11.93   14.59   11.96    7.68    5.89    5.27    2.96    1.33    1.23    0.10    0.22    0.12    0.12    0.06    0.07    0.08    0.58    0.31    0.31   16.48   97.01    0.43   13.04    0.00    3.44   61.92
 1980 212    48    80     2     0.0  150.5  143.4    7.1    3.28    9.77   14.45   13.74    8.51    5.89    5.26    2.97    1.33    1.24    0.09    0.21    0.10    0.13    0.06    0.07    0.08    0.57    0.30    0.30   16.71   97.32    0.51   13.13    0.00    3.58   61.92
 1980 213    49    80     2     0.0  149.6  142.6    7.0    3.29    9.11   13.89   13.53    9.08    5.86    5.24    2.98    1.34    1.24    0.11    0.21    0.10    0.13    0.07    0.07    0.08    0.56    0.30    0.30   16.92   97.57    0.83   13.20    0.00    3.72   62.67
 1980 214    50    80     2     0.0  141.9  135.0    6.9    3.27    7.91   11.80   12.21    9.40    5.72    5.00    2.98    1.34    1.25    0.11    0.20    0.09    0.14    0.07    0.07    0.08    0.54    0.29    0.29   17.16   97.86    1.04   13.29    0.00    3.87   70.35
 1980 215    51    80     2     0.0  142.0  135.2    6.8    1.90    6.75   11.62   12.96    9.91    5.82    4.99    2.99    1.35    1.26    0.10    0.19    0.08    0.14    0.07    0.07    0.08    0.53    0.29    0.28   17.43   98.19    1.13   13.38    0.00    4.05   70.35
 1980 216    52    80     2     0.0  141.9  135.2    6.7    1.48    6.00   10.60   13.18   10.46    6.09    5.00    3.00    1.36    1.26    0.12    0.20    0.08    0.14    0.08    0.07    0.07    0.52    0.28    0.28   17.65   98.43    1.40   13.45    0.00    4.20   70.35
 1980 217    53    80     2     0.0  141.7  135.1    6.6    1.48    5.63   10.19   12.90   10.78    6.42    5.00    3.01    1.36    1.27    0.13    0.20    0.07    0.15    0.09    0.07    0.07    0.51    0.27    0.27   17.86   98.65    1.66   13.51    0.00    4.35   70.35
